Building type	Coordinates (latitude)	Coordinates (longitude)	Number of employees	Number of students/residence	School type
M	40.916098	-73.770407	80		
P	40.985008	-73.777366	80		
P	40.946648	-73.794581	80		
P	40.91156	-73.781767	80		
E	40.928459	-73.789965	226		
E	40.92454	-73.789503	226		
E	40.925131	-73.787458	227		
E	40.909758	-73.782588	227		
E	40.901462	-73.780993	227		
M	40.891115	-73.778075	84		
M	40.912227	-73.78398	84		
M	40.946309	-73.795242	85		
M	40.923124	-73.787939	85		
M	40.920883	-73.78749	85		
M	40.914867	-73.772523	85		
M	40.916828	-73.769696	85		
M	40.914798	-73.784566	85		
M	40.909619	-73.780089	85		
M	40.906152	-73.777183	84		
M	40.910285	-73.780943	84		
